시도,시군구,code,면적_km2,lat,lng,IC수,IC밀도_per1000km2,최근접무역항,항만거리_km
서울,종로구,11010,24.01,37.59492,126.97731,0,0.0,서울항,8.2
서울,중구,11020,10.04,37.56009,126.99587,0,0.0,서울항,6.5
서울,용산구,11030,21.8,37.5313,126.97987,0,0.0,서울항,4.2
서울,성동구,11040,16.81,37.55101,127.04102,0,0.0,서울항,9.9
서울,광진구,11050,17.03,37.54671,127.08573,0,0.0,서울항,13.7
서울,동대문구,11060,14.29,37.58207,127.0549,0,0.0,서울항,12.3
서울,중랑구,11070,18.5,37.59776,127.09289,0,0.0,서울항,16.0
서울,성북구,11080,24.55,37.60572,127.01737,0,0.0,서울항,11.3
서울,강북구,11090,23.61,37.6434,127.01123,0,0.0,서울항,14.4
서울,도봉구,11100,20.69,37.66912,127.0324,0,0.0,서울항,17.8
서울,노원구,11110,35.59,37.65244,127.07504,0,0.0,서울항,18.5
서울,은평구,11120,29.66,37.61918,126.92703,0,0.0,서울항,9.9
서울,서대문구,11130,17.68,37.57782,126.93905,0,0.0,서울항,5.3
서울,마포구,11140,23.88,37.55932,126.90829,0,0.0,서울항,3.9
서울,양천구,11150,17.28,37.52479,126.85551,0,0.0,서울항,6.8
서울,강서구,11160,41.56,37.56125,126.8227,0,0.0,서울항,10.2
서울,구로구,11170,20.06,37.49445,126.8565,0,0.0,서울항,7.8
서울,금천구,11180,13.03,37.46055,126.90085,1,76.746,서울항,8.2
서울,영등포구,11190,24.55,37.52234,126.91012,0,0.0,서울항,2.1
서울,동작구,11200,16.39,37.49887,126.95177,0,0.0,서울항,3.9
서울,관악구,11210,29.67,37.4673,126.94538,0,0.0,서울항,7.1
서울,서초구,11220,46.91,37.47327,127.03133,1,21.317,서울항,10.8
서울,강남구,11230,39.41,37.4967,127.06293,0,0.0,서울항,12.1
서울,송파구,11240,33.83,37.5056,127.11526,2,59.119,서울항,16.4
서울,강동구,11250,24.55,37.55044,127.14698,5,203.666,서울항,19.1
부산,중구,21010,3.02,35.10539,129.03214,0,0.0,진해항,32.9
부산,서구,21020,14.13,35.10273,129.01498,0,0.0,진해항,31.4
부산,동구,21030,10.07,35.12831,129.0448,0,0.0,진해항,34.0
부산,영도구,21040,14.71,35.07875,129.06481,0,0.0,진해항,36.2
부산,부산진구,21050,29.83,35.16528,129.04309,0,0.0,진해항,34.1
부산,동래구,21060,16.71,35.20616,129.07911,0,0.0,진해항,38.1
부산,남구,21070,27.2,35.12523,129.09444,0,0.0,진해항,38.5
부산,북구,21080,39.65,35.22931,129.02341,0,0.0,진해항,33.9
부산,해운대구,21090,52.19,35.19369,129.1536,1,19.161,울산항,39.5
부산,사하구,21100,47.29,35.08615,128.9704,0,0.0,진해항,27.6
부산,금정구,21110,65.72,35.2589,129.09146,4,60.864,울산항,38.1
부산,강서구,21120,185.3,35.13683,128.8914,4,21.587,진해항,20.0
부산,연제구,21130,12.15,35.18236,129.083,0,0.0,진해항,37.9
부산,수영구,21140,10.31,35.16119,129.11136,0,0.0,진해항,40.2
부산,사상구,21150,36.18,35.15805,128.98659,0,0.0,진해항,28.9
부산,기장군,21310,219.28,35.29787,129.20101,4,18.242,울산항,27.8
대구,중구,22010,7.07,35.86648,128.59353,0,0.0,포항항,79.2
대구,동구,22020,181.57,35.93449,128.68566,3,16.523,포항항,68.9
대구,서구,22030,17.4,35.87509,128.54967,1,57.471,마산항,81.5
대구,남구,22040,17.8,35.83508,128.58533,0,0.0,마산항,76.9
대구,북구,22050,93.85,35.92886,128.57741,4,42.621,포항항,78.4
대구,수성구,22060,76.67,35.83383,128.6612,0,0.0,포항항,75.1
대구,달서구,22070,62.57,35.82768,128.52892,2,31.964,마산항,76.3
대구,달성군,22310,423.0,35.75966,128.49832,7,16.548,마산항,69.1
인천,중구,23010,144.44,37.46858,126.48216,1,6.923,인천항,13.5
인천,동구,23020,7.27,37.48332,126.63908,0,0.0,인천항,7.9
인천,남구,23030,24.97,37.45254,126.66459,2,80.096,인천항,12.0
인천,연수구,23040,56.97,37.39402,126.64819,0,0.0,인천항,17.6
인천,남동구,23050,57.61,37.43089,126.7265,3,52.074,인천항,17.1
인천,부평구,23060,32.08,37.49659,126.7211,0,0.0,경인항,11.9
