시도,시군구,급여인원,평균급여_만원
서울,강남구,238731,8649.8
서울,강동구,202588,4873.0
서울,강북구,105437,3462.1
서울,강서구,255155,4476.8
서울,관악구,230776,3771.0
서울,광진구,153560,4535.0
서울,구로구,179560,4167.8
서울,금천구,106354,3641.7
서울,노원구,198049,4372.5
서울,도봉구,119202,3721.4
서울,동대문구,138563,4293.4
서울,동작구,172554,4855.5
서울,마포구,166285,5626.2
서울,서대문구,129851,4918.3
서울,서초구,177341,8727.8
서울,성동구,121095,5735.3
서울,성북구,166665,4636.4
서울,송파구,298410,6027.1
서울,양천구,181139,5400.9
서울,영등포구,188797,5268.1
서울,용산구,93735,7926.9
서울,은평구,196081,4119.7
서울,종로구,56133,5653.0
서울,중구,53269,5615.6
서울,중랑구,153982,3670.3
인천,강화군,20227,3677.4
인천,계양구,118329,3529.6
인천,남동구,204172,3764.1
인천,동구,23388,3482.8
인천,미추홀구(남구),166397,3446.9
인천,부평구,208561,3738.0
인천,서구,277545,4126.3
인천,연수구,179216,5243.7
인천,옹진군,7233,4298.9
인천,중구,76340,3999.9
경기,가평군,21365,3549.3
경기,고양시,449274,4509.6
경기,과천시,37854,6832.9
경기,광명시,120822,4657.7
경기,광주시,172436,3839.5
경기,구리시,75433,4175.0
경기,군포시,116190,4378.8
경기,김포시,212235,4218.0
경기,남양주시,280203,3945.4
경기,동두천시,32637,3136.2
경기,부천시,330422,3885.9
경기,성남시,410639,5878.7
경기,수원시,547398,4925.0
경기,시흥시,243352,3842.3
경기,안산시,278962,3732.0
경기,안성시,86089,3722.1
경기,안양시,248046,4773.0
경기,양주시,117263,3515.0
경기,양평군,39634,4067.3
경기,여주시,42665,3664.4
경기,연천군,14577,3521.3
경기,오산시,111790,4082.7
경기,용인시,466062,5397.4
경기,의왕시,68590,4821.2
경기,의정부시,180997,3557.6
경기,이천시,100515,4598.2
경기,파주시,216215,3980.7
경기,평택시,265082,4284.8
경기,포천시,61562,3244.8
경기,하남시,143635,4870.3
경기,화성시,471361,5082.5
강원,강릉시,75383,3790.7
강원,고성군,8826,3544.3
강원,동해시,32037,4069.3
강원,삼척시,20894,3954.6
강원,속초시,30226,3579.8
강원,양구군,7402,3847.2
강원,양양군,8273,3600.4
강원,영월군,11331,3802.1
강원,원주시,144923,3926.0
강원,인제군,12187,3987.8
강원,정선군,10752,3768.2
강원,철원군,13321,3791.6
강원,춘천시,112230,3915.1
강원,태백시,14070,3904.9
강원,평창군,11592,3657.0
강원,홍천군,20742,3570.9
강원,화천군,8319,3843.8
강원,횡성군,13763,3508.7
대전,대덕구,68220,3628.7
대전,동구,79691,3459.2
대전,서구,188617,4139.8
대전,유성구,164586,5130.7
대전,중구,84183,3810.5
충북,괴산군,10247,3519.9
충북,단양군,8337,3710.3
충북,보은군,8763,3488.3
충북,영동군,12505,3552.8
충북,옥천군,15409,3492.7
충북,음성군,44439,3618.7
충북,제천시,45685,3712.0
충북,증평군,15825,3781.4
충북,진천군,43404,3954.5
충북,청주시,371049,4395.7
충북,충주시,79707,3915.3
충남,계룡시,19245,4655.1
충남,공주시,34113,3541.1
충남,금산군,14324,3451.5
충남,논산시,35785,3454.2
충남,당진시,69466,4656.2
충남,보령시,32282,3762.0
충남,부여군,16363,3356.4
충남,서산시,67645,4802.3
충남,서천군,13491,3520.5
충남,아산시,158911,4754.4
충남,예산군,26320,3661.2
충남,천안시,293242,4462.5
충남,청양군,8356,3476.0
충남,태안군,16552,3839.1
충남,홍성군,35578,3895.2
광주,광산구,166976,4037.4
광주,남구,77093,4315.1
광주,동구,41178,4238.1
광주,북구,163880,3867.6
광주,서구,112581,4269.9
전북,고창군,13408,3503.8
전북,군산시,95283,3945.4
전북,김제시,24923,3323.9
전북,남원시,22792,3398.7
전북,무주군,6494,3492.3
전북,부안군,13108,3309.9
전북,순창군,7473,3490.9
전북,완주군,35768,3874.7
전북,익산시,96268,3708.2
전북,임실군,7086,3395.3
전북,장수군,5493,3419.9
전북,전주시,249044,4107.8
전북,정읍시,32542,3430.9
전북,진안군,6627,3506.4
전남,강진군,8695,3547.5
전남,고흥군,13647,3318.1
전남,곡성군,7483,3710.3
전남,광양시,61608,4916.5
전남,구례군,6356,3526.2
전남,나주시,43561,3907.6
전남,담양군,13858,3814.5
전남,목포시,73440,3585.4
전남,무안군,32968,4269.3
전남,보성군,8838,3450.8
전남,순천시,102290,4425.2
전남,신안군,8712,3788.3
전남,여수시,96991,4662.8
전남,영광군,15741,3986.7
전남,영암군,21835,3348.9
전남,완도군,10904,3423.8
전남,장성군,13447,3732.1
전남,장흥군,9038,3596.2
전남,진도군,6604,3575.5
전남,함평군,8479,3408.0
전남,해남군,15944,3389.2
전남,화순군,20551,3469.6
대구,군위군,5885,3541.7
대구,남구,44829,3301.2
대구,달서구,200642,3958.3
대구,달성군,104135,3820.5
대구,동구,126743,3760.0
대구,북구,155189,3628.0
대구,서구,55645,3146.0
대구,수성구,147030,5251.8
대구,중구,37287,4236.2
경북,경산시,100492,3511.6
경북,경주시,91478,4082.3
경북,고령군,9503,3409.3
경북,구미시,164216,4439.7
경북,김천시,46098,4006.4
경북,문경시,19998,3502.5
경북,봉화군,6655,3531.7
경북,상주시,24766,3497.4
경북,성주군,10938,3481.6
경북,안동시,49800,3777.0
경북,영덕군,7679,3430.1
경북,영양군,3532,3671.4
