시도,시군구,면적_km2,IC수,IC밀도_per1000km2,최근접무역항,항만거리_km,산업용전력_2024_kWh,산업용전력_2023_kWh,평균급여_만원,lat,lng
강원,강릉시,1039.36,4.0,3.849,옥계항,24.0,822702380.0,866739572,3790.7,37.70924,128.83243
강원,고성군,660.36,0.0,0.0,속초항,25.3,60905433.0,61897417,3544.3,38.37741,128.3998
강원,동해시,181.0,2.0,11.05,동해묵호항,7.7,1284432400.0,1756634941,4069.3,37.50689,129.05583
강원,삼척시,1187.29,2.0,1.685,삼척항,18.4,1134647790.0,1134113851,3954.6,37.27753,129.12203
강원,속초시,105.58,2.0,18.943,속초항,8.2,75398810.0,74351843,3579.8,38.17607,128.51963
강원,양구군,660.96,0.0,0.0,속초항,52.5,19558636.0,19730194,3847.2,38.17812,128.00123
강원,양양군,630.27,6.0,9.52,속초항,23.2,47684174.0,47188990,3600.4,38.00462,128.5953
강원,영월군,1126.54,0.0,0.0,삼척항,66.2,783368483.0,812433580,3802.1,37.20397,128.50014
강원,원주시,866.52,6.0,6.924,서울항,91.5,819488590.0,839346135,3926.0,37.30829,127.92952
강원,인제군,1639.86,1.0,0.61,속초항,33.6,38066591.0,38120165,3987.8,38.06898,128.26332
강원,정선군,1218.25,0.0,0.0,동해묵호항,38.9,245321890.0,258023137,3768.2,37.3788,128.73903
강원,철원군,889.73,0.0,0.0,서울항,89.9,60961522.0,61356524,3791.6,38.24378,127.41352
강원,춘천시,1114.75,4.0,3.588,서울항,81.5,251550206.0,245731629,3915.1,37.88987,127.73997
강원,태백시,303.24,0.0,0.0,호산항,32.8,80073912.0,91931905,3904.9,37.17235,128.98011
강원,평창군,1463.14,8.0,5.468,옥계항,54.2,88816050.0,87748367,3657.0,37.55701,128.48276
강원,홍천군,1816.46,6.0,3.303,속초항,69.5,123001199.0,123608716,3570.9,37.74487,128.07446
강원,화천군,907.0,0.0,0.0,속초항,80.4,24163601.0,24799380,3843.8,38.13843,127.68518
