시도,시군구,산업용전력_2024_kWh,산업용전력_2023_kWh
강원도,강릉시,822702380.0,866739572
강원도,고성군,60905433.0,61897417
강원도,동해시,1284432400.0,1756634941
강원도,삼척시,1134647790.0,1134113851
강원도,속초시,75398810.0,74351843
강원도,양구군,19558636.0,19730194
강원도,양양군,47684174.0,47188990
강원도,영월군,783368483.0,812433580
강원도,원주시,819488590.0,839346135
강원도,인제군,38066591.0,38120165
강원도,정선군,245321890.0,258023137
강원도,철원군,60961522.0,61356524
강원도,춘천시,251550206.0,245731629
강원도,태백시,80073912.0,91931905
강원도,평창군,88816050.0,87748367
강원도,홍천군,123001199.0,123608716
강원도,화천군,24163601.0,24799380
강원도,횡성군,277596730.0,267675758
경기도,가평군,93279793.0,96590463
경기도,고양시,777150182.0,770608677
경기도,과천시,50369589.0,49190053
경기도,광명시,267429300.0,249049617
경기도,광주시,1098738741.0,1116072495
경기도,구리시,125070920.0,118217368
경기도,군포시,565134462.0,576870636
경기도,김포시,2150374130.0,2194317872
경기도,남양주시,948593777.0,951705597
경기도,동두천시,215677147.0,227731586
경기도,부천시,1618318513.0,1597327431
경기도,성남시,865191670.0,868158823
경기도,수원시,686502983.0,672294295
경기도,시흥시,2839474319.0,2826589602
경기도,안산시,5436440046.0,5573307754
경기도,안성시,2122848802.0,2087721854
경기도,안양시,429699293.0,454608243
경기도,양주시,1062134385.0,1092909828
경기도,양평군,126311499.0,121635402
경기도,여주시,542890439.0,536370095
경기도,연천군,214982991.0,209430905
경기도,오산시,572135829.0,557100474
경기도,용인시,5460630892.0,5593502786
경기도,의왕시,146915596.0,147590893
경기도,의정부시,225154254.0,243336812
경기도,이천시,4360848508.0,5090017914
경기도,파주시,6594778953.0,6652784133
경기도,평택시,18158294489.0,16291114812
경기도,포천시,1532261571.0,1577991432
경기도,하남시,549800099.0,556003737
경기도,화성시,15852642575.0,16012028620
경상남도,거제시,1204078691.0,1108431037
경상남도,거창군,113387186.0,119458012
경상남도,고성군,355050537.0,391581589
경상남도,김해시,3211646532.0,3262967942
경상남도,남해군,19204205.0,19609051
경상남도,밀양시,638716686.0,613528327
경상남도,사천시,896131716.0,898498976
경상남도,산청군,96429784.0,93774892
경상남도,양산시,2340565702.0,2398450960
경상남도,의령군,186751615.0,191372317
경상남도,진주시,865284834.0,876299839
경상남도,창녕군,545399924.0,552870207
경상남도,창원시,6110945108.0,6276605678
경상남도,통영시,398677519.0,360670300
경상남도,하동군,198735307.0,194411215
경상남도,함안군,2527377522.0,2557972255
경상남도,함양군,52393334.0,78702762
경상남도,합천군,68618501.0,72342137
경상북도,경산시,1563276493.0,1582172040
경상북도,경주시,2683481288.0,2738686057
경상북도,고령군,959092455.0,1019659889
경상북도,구미시,7580967911.0,7495136038
경상북도,군위군,,71668527
경상북도,김천시,1684564417.0,1606721889
경상북도,문경시,202507174.0,206786971
경상북도,봉화군,1246935898.0,1824749744
경상북도,상주시,172025410.0,160845911
경상북도,성주군,760935878.0,795458205
경상북도,안동시,302676633.0,295726673
경상북도,영덕군,46277511.0,50368555
경상북도,영양군,12711583.0,12293073
경상북도,영주시,1159581718.0,1117996185
경상북도,영천시,939821740.0,961775079
경상북도,예천군,50483267.0,51008572
경상북도,울릉군,8469031.0,8105143
경상북도,울진군,312480671.0,374698700
경상북도,의성군,76750298.0,79835638
경상북도,청도군,83420837.0,84985828
경상북도,청송군,20097368.0,19784180
경상북도,칠곡군,1237683093.0,1279962601
경상북도,포항시,8000521341.0,7768872649
광주광역시,광산구,1977456873.0,1945044717
광주광역시,남구,50265807.0,48879940
광주광역시,동구,36239869.0,34723935
광주광역시,북구,741348218.0,744438050
광주광역시,서구,309770389.0,311157406
대구광역시,군위군,132574069.0,68721734
대구광역시,남구,11232813.0,10633647
대구광역시,달서구,1945533218.0,1994829457
대구광역시,달성군,3182387811.0,3179292597
대구광역시,동구,129353109.0,129574470
대구광역시,북구,665233608.0,685515529
대구광역시,서구,348278884.0,363966016
대구광역시,수성구,217762471.0,212071882
대구광역시,중구,36208487.0,36379644
대전광역시,대덕구,1909654735.0,1932673134
대전광역시,동구,82394680.0,83609451
대전광역시,서구,52239972.0,52783849
대전광역시,유성구,928011277.0,879825129
대전광역시,중구,34538834.0,34932218
부산광역시,강서구,3356267633.0,3338460518
부산광역시,금정구,243748665.0,243813233
부산광역시,기장군,740207567.0,730081377
부산광역시,남구,527289170.0,519515217
부산광역시,동구,80341763.0,80077371
부산광역시,동래구,98173539.0,98554051
부산광역시,부산진구,228006686.0,238861163
부산광역시,북구,110032327.0,111386068
부산광역시,사상구,722069586.0,742060913
부산광역시,사하구,1349977457.0,1425938823
부산광역시,서구,176012818.0,176621989
부산광역시,수영구,13508064.0,13677689
부산광역시,연제구,63379498.0,64690784
부산광역시,영도구,125389752.0,118835562
부산광역시,중구,6172972.0,6292698
부산광역시,해운대구,139331716.0,157309366
서울특별시,강남구,290046865.0,279846147
서울특별시,강동구,165037446.0,161341465
서울특별시,강북구,49670156.0,52091825
서울특별시,강서구,346482775.0,339111326
서울특별시,관악구,35249819.0,36888855
서울특별시,광진구,356228927.0,356561363
서울특별시,구로구,312868570.0,326023830
서울특별시,금천구,204552621.0,212059874
서울특별시,노원구,68419160.0,71330992
서울특별시,도봉구,50642245.0,54017679
서울특별시,동대문구,160810070.0,163506467
서울특별시,동작구,57928235.0,55544805
서울특별시,마포구,162171795.0,169664399
서울특별시,서대문구,31931623.0,32670770
서울특별시,서초구,423490350.0,430376917
서울특별시,성동구,878264821.0,885063961
서울특별시,성북구,97901768.0,101265089
서울특별시,송파구,213563867.0,214468670
서울특별시,양천구,41548565.0,45963541
서울특별시,영등포구,216900245.0,219241887
서울특별시,용산구,100170610.0,104308233
서울특별시,은평구,201782672.0,196730170
서울특별시,종로구,66968033.0,72416038
서울특별시,중구,203050813.0,215127489
서울특별시,중랑구,65465475.0,68715908
세종특별자치시,세종시,2135797891.0,2057190553
울산광역시,남구,13768565982.0,14164865271
울산광역시,동구,1107747592.0,1086121120
울산광역시,북구,1713409495.0,1789754491
울산광역시,울주군,10630726312.0,10377089047
울산광역시,중구,29916353.0,30018327
인천광역시,강화군,114657055.0,112246667
인천광역시,계양구,398309395.0,389045757
인천광역시,남동구,1977596702.0,2043350083
인천광역시,동구,2624513666.0,3187673412
인천광역시,미추홀구,392773287.0,407305051
인천광역시,부평구,676364229.0,691421183
인천광역시,서구,3707954698.0,3673968973
인천광역시,연수구,1468228456.0,1376908915
인천광역시,옹진군,61378058.0,66085866
인천광역시,중구,942452040.0,1006058338
전라남도,강진군,66478363.0,68175375
전라남도,고흥군,82977753.0,83347435
전라남도,곡성군,226994436.0,224104463
전라남도,광양시,3078412348.0,3844963400
전라남도,구례군,30637505.0,30545723
전라남도,나주시,489064411.0,506581751
전라남도,담양군,217563586.0,211894145
전라남도,목포시,136488963.0,132390695
전라남도,무안군,104058459.0,105666097
전라남도,보성군,51862637.0,52323955
전라남도,순천시,1050029616.0,1077068206
전라남도,신안군,32266020.0,33120089
전라남도,여수시,13610444737.0,13550544260
전라남도,영광군,346504416.0,341679728
전라남도,영암군,824015373.0,805998206
전라남도,완도군,49883614.0,49210110
전라남도,장성군,239935796.0,299331767
전라남도,장흥군,72849852.0,73233686
전라남도,진도군,21382801.0,20972936
전라남도,함평군,102078988.0,102681793
전라남도,해남군,102938199.0,93712671
전라남도,화순군,131072810.0,128082563
전라북도,고창군,112699900.0,114077864
전라북도,군산시,4848219517.0,4636690739
전라북도,김제시,529127226.0,546433192
전라북도,남원시,182089013.0,187372898
전라북도,무주군,33767026.0,33144467
전라북도,부안군,122286557.0,123780527
전라북도,순창군,80428841.0,87038517
전라북도,완주군,1190041903.0,1156734298
전라북도,익산시,1698755593.0,1759454864
전라북도,임실군,87736568.0,100210442
전라북도,장수군,36766195.0,37636632
전라북도,전주시,1686512994.0,1753978875
전라북도,정읍시,826455216.0,956180963
전라북도,진안군,38897738.0,38045258
제주특별자치도,서귀포시,192213304.0,193130964
제주특별자치도,제주시,493248252.0,494704734
충청남도,계룡시,60929507.0,57477262
충청남도,공주시,468475503.0,478323930
충청남도,금산군,663369107.0,666455127
충청남도,논산시,600044800.0,608327573
충청남도,당진시,5605732454.0,6004165854
충청남도,보령시,769473417.0,718739676
충청남도,부여군,136882027.0,147621766
충청남도,서산시,8733011008.0,8795638099
충청남도,서천군,717098759.0,684058595
충청남도,아산시,11398213603.0,11207876467
충청남도,예산군,816511495.0,803145915
충청남도,천안시,5683279643.0,5427342623
충청남도,청양군,134446107.0,130917383
충청남도,태안군,447516995.0,391121687
충청남도,홍성군,352417022.0,341238406
충청북도,괴산군,241701763.0,251567476
충청북도,단양군,1480861472.0,1721494755
충청북도,보은군,171629023.0,171914366
충청북도,영동군,160658488.0,161833788
충청북도,옥천군,352122840.0,348222518
충청북도,음성군,2555737368.0,2592819902
충청북도,제천시,905937676.0,928577551
충청북도,증평군,343765238.0,355469745
충청북도,진천군,2430040505.0,2353375879
충청북도,청주시,7925186601.0,9820940769
충청북도,충주시,1646055380.0,1595330949
